Ocol,Data,Proprietar,Status,Nr Apv,Cod UP,Nume UP,Denumire APV,Suprafata totala act (ha),Tratament,Natura Produsului,Tehnologia exploatare,Data inventarierii,Anul Exploatarii,Accesibilitate,Procedeu,Ciocan forma,Ciocan nr,Stancarii,Arbori putregaiosi - nr,Arbori putregaiosi - volum (mc),Iescari - nr,Iescari - volum (mc),UA - denumire,Suprafata totala UA (ha),Suprafata parcursa (ha),Varsta (ani),Panta G,Semintis %,Semintis total,Compozitie,Inaltime semintis,Specia,Volum mediu arbore (mc),Nr arbori,Crestere,G1,G2,G3,M1,M2,M3,Ls,Lemn de lucru (mc),Coaja (mc),Lemn de foc total (mc),Varfuri (mc),Volum brut (mc),dt,dcg,ht,hc
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Garnita (S),0.26,27,0.0,0.0,0.22,0.0,0.29,0.51,0.48,0.27,1.77,0.42,4.81,0.53,7.0,19.0,19.12,14.36,14.36
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Salcam (L),0.06,3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.15,0.02,0.18,11.33,11.33,8.33,8.33
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Carpen,0.1,4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0.0,0.52,0.02,0.55,13.0,13.0,10.5,10.5
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Gorun (S),0.27,115,0.0,0.0,0.75,0.0,1.69,2.57,1.83,0.67,7.51,1.47,21.94,2.9,30.92,18.97,20.21,14.31,14.31
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Stejar pedunculat (L),0.3,36,0.0,0.0,0.06,0.0,0.31,0.26,0.2,0.09,0.92,0.26,9.0,0.66,10.18,20.53,20.53,14.26,14.26
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Garnita (S),0.13,115,0.0,0.0,0.17,0.0,0.19,0.4,0.59,0.89,2.24,0.62,13.16,1.61,16.02,13.58,17.78,13.67,13.67
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Gorun (L),0.28,725,0.0,0.0,6.79,0.0,10.15,12.98,8.83,3.68,42.43,8.14,154.0,14.14,204.57,18.85,23.06,15.22,15.22
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Jugastru,0.57,3,0.0,0.0,0.14,0.0,0.0,0.0,0.01,0.01,0.16,0.02,1.16,0.06,1.34,26.0,26.0,15.0,15.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Carpen,0.09,122,0.0,0.0,0.0,0.0,0.04,0.29,0.6,0.69,1.62,0.17,9.96,0.84,11.75,13.11,14.74,10.89,10.89
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Cer (L),0.07,24,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.06,1.9,0.17,2.11,11.9,11.9,10.75,10.75
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 E,1.57,1.57,84,0,0.0,0.0,0,0.0,Garnita (S),0.29,86,0.0,0.0,1.35,0.0,0.89,1.87,1.62,0.91,6.64,1.54,17.09,1.81,25.27,19.33,20.26,13.81,13.81
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 E,1.57,1.57,84,0,0.0,0.0,0,0.0,Gorun (L),0.37,146,0.0,0.0,5.56,0.0,5.2,5.02,2.69,0.85,19.32,3.54,31.27,3.69,54.13,21.25,22.63,14.86,14.86
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 E,1.57,1.57,84,0,0.0,0.0,0,0.0,Cer (L),0.07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.12,0.02,0.14,13.0,13.0,10.0,10.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,68 C,2.36,2.36,79,15,0.0,0.0,0,0.0,Garnita (S),0.14,245,0.0,0.0,0.28,0.0,0.77,2.0,2.67,2.4,8.12,2.16,24.01,3.72,34.29,14.18,17.76,13.56,13.56
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,68 C,2.36,2.36,79,15,0.0,0.0,0,0.0,Gorun (S),0.19,222,0.0,0.0,0.44,0.0,1.53,3.92,3.96,2.09,11.94,2.47,27.13,4.76,41.54,15.85,19.28,14.84,14.84
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,68 C,2.36,2.36,79,15,0.0,0.0,0,0.0,Cer (L),0.11,24,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.15,0.32,0.1,2.25,0.31,2.67,14.08,14.08,12.42,12.42
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,69 B,1.76,1.76,79,0,0.0,0.0,0,0.0,Garnita (S),0.13,331,0.0,0.0,0.52,0.0,0.92,1.84,2.69,2.61,8.58,2.29,33.91,4.71,44.78,14.0,17.75,13.13,13.13
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,69 B,1.76,1.76,79,0,0.0,0.0,0,0.0,Salcam (L),0.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,10.0,10.0,9.0,9.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,69 B,1.76,1.76,79,0,0.0,0.0,0,0.0,Gorun (S),0.21,120,0.0,0.0,0.2,0.0,0.99,1.94,1.54,0.76,5.43,1.1,19.34,2.61,25.87,16.72,18.0,13.96,13.96
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,69 B,1.76,1.76,79,0,0.0,0.0,0,0.0,Stejar pedunculat (L),0.29,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.01,0.07,0.02,0.74,0.07,0.83,21.0,21.0,14.5,14.5
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,69 B,1.76,1.76,79,0,0.0,0.0,0,0.0,Cer (L),0.07,6,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.05,0.02,0.38,0.05,0.45,12.0,12.0,9.5,9.5
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Garnita (S),0.23,726,0.0,0.0,2.53,0.0,5.82,13.0,13.11,8.61,43.07,10.72,112.11,14.46,165.9,17.29,19.48,14.81,14.81
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Gorun (L),0.26,1860,0.0,0.0,15.75,0.0,27.41,47.51,39.29,16.81,146.77,28.95,300.7,38.95,476.42,17.86,20.62,15.44,15.44
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Salcam (L),0.36,1,0.0,0.0,0.0,0.0,0.05,0.04,0.03,0.01,0.13,0.05,0.18,0.03,0.36,24.0,24.0,18.0,18.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Carpen,0.11,17,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.15,0.02,1.53,0.1,1.7,13.6,13.6,11.2,11.2
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Plop tremurator,1.34,1,0.0,0.0,0.17,0.0,0.01,0.0,0.0,0.0,0.18,0.02,1.14,0.08,1.34,42.0,42.0,20.0,20.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Pin silvestru,0.39,5,0.0,0.0,0.04,0.09,0.08,0.05,0.0,0.03,0.29,0.07,1.58,0.0,1.94,24.4,24.4,17.2,17.2
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,70 D,19.32,19.32,59,15,0.0,0.0,0,0.0,Cer (S),0.18,134,0.0,0.0,0.41,0.0,0.89,0.96,0.99,0.95,4.2,1.21,18.08,2.15,23.49,16.45,18.4,14.52,14.52
