?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Paltin de camp,Foioase,Pa,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Paltin de munte,Foioase,Pa,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Paltin de munte,Foioase,Pa,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Par paduret,Foioase,Pr,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Par paduret,Foioase,Pr,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,400.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,330.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,240.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,240.0
Pin negru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Pin negru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,400.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,330.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,240.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,240.0
Pin silvestru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Pin silvestru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop alb,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Plop alb,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Plop alb,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Plop alb,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Plop alb,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Plop alb,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop euramerican R-16,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Plop euramerican R-16,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Plop euramerican R-16,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Plop euramerican R-16,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Plop euramerican R-16,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Plop euramerican R-16,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop euramerican nesl.,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Plop euramerican nesl.,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Plop euramerican nesl.,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Plop euramerican nesl.,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Plop euramerican nesl.,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Plop euramerican nesl.,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop negru,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Plop negru,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Plop negru,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Plop negru,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Plop negru,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Plop negru,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop tremurator,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Plop tremurator,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Plop tremurator,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Plop tremurator,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Plop tremurator,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Plop tremurator,Foioase,Pl,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Salcam (L),Foioase,Sc,LEMN ROTUND,SC,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,530.0
Salcam (L),Foioase,Sc,LEMN ROTUND,SC,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,510.0
Salcam (L),Foioase,Sc,LEMN ROTUND,SC,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,380.0
Salcam (L),Foioase,Sc,LEMN ROTUND,SC,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,380.0
Salcam (L),Foioase,Sc,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Salcam (L),Foioase,Sc,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Salcam (P),Foioase,Sc,LEMN ROTUND,SC,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,530.0
Salcam (P),Foioase,Sc,LEMN ROTUND,SC,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,510.0
Salcam (P),Foioase,Sc,LEMN ROTUND,SC,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,380.0
Salcam (P),Foioase,Sc,LEMN ROTUND,SC,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,380.0
Salcam (P),Foioase,Sc,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Salcam (P),Foioase,Sc,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Salcie alba (L),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Salcie alba (L),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Salcie alba (L),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Salcie alba (L),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Salcie alba (L),Foioase,Sa,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Salcie alba (L),Foioase,Sa,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Salcie alba (R),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Salcie alba (R),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Salcie alba (R),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Salcie alba (R),Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Salcie alba (R),Foioase,Sa,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Salcie alba (R),Foioase,Sa,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Salcie capreasca,Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Salcie capreasca,Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Salcie capreasca,Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Salcie capreasca,Foioase,Sa,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Salcie capreasca,Foioase,Sa,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Salcie capreasca,Foioase,Sa,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Stejar brumariu,Foioase,St,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Stejar brumariu,Foioase,St,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Stejar brumariu,Foioase,St,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Stejar brumariu,Foioase,St,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Stejar brumariu,Foioase,St,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Stejar brumariu,Foioase,St,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Stejar pedunculat (L),Foioase,St,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Stejar pedunculat (L),Foioase,St,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Stejar pedunculat (L),Foioase,St,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Stejar pedunculat (L),Foioase,St,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Stejar pedunculat (L),Foioase,St,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Stejar pedunculat (L),Foioase,St,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Stejar pedunculat (S),Foioase,St,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Stejar pedunculat (S),Foioase,St,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Stejar pedunculat (S),Foioase,St,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Stejar pedunculat (S),Foioase,St,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Stejar pedunculat (S),Foioase,St,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Stejar pedunculat (S),Foioase,St,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Stejar pufos,Foioase,St,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Stejar pufos,Foioase,St,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Stejar pufos,Foioase,St,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Stejar pufos,Foioase,St,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Stejar pufos,Foioase,St,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Stejar pufos,Foioase,St,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Stejar rosu,Foioase,St,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Stejar rosu,Foioase,St,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Stejar rosu,Foioase,St,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Stejar rosu,Foioase,St,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Stejar rosu,Foioase,St,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Stejar rosu,Foioase,St,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Tei argintiu,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Tei argintiu,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Tei argintiu,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Tei argintiu,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Tei argintiu,Foioase,Te,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Tei argintiu,Foioase,Te,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Tei pucios,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Tei pucios,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Tei pucios,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Tei pucios,Foioase,Te,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Tei pucios,Foioase,Te,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Tei pucios,Foioase,Te,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Ulm de camp,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Ulm de camp,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Ulm de camp,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Ulm de camp,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Ulm de camp,Foioase,Ul,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Ulm de camp,Foioase,Ul,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Ulm de munte,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Ulm de munte,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Ulm de munte,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Ulm de munte,Foioase,Ul,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Ulm de munte,Foioase,Ul,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Ulm de munte,Foioase,Ul,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,,100.0
